ind,pop
SA1004,Khomani
SA063,Khomani
SA010,Khomani
SA064,Khomani
SA073,Khomani
SA1025,Khomani
SA078,Khomani
SA083,Khomani
SA047,Khomani
SA016,Khomani
SA018,Khomani
Yuk_009,Yukagir_Tundra
Yuk_025,Yukagir_Tundra
Yuk_022,Yukagir_Tundra
Yuk_020,Yukagir_Tundra
Yuk_024,Yukagir_Tundra
Yuk_023,Yukagir_Tundra
Yuk_004,Yukagir_Tundra
Yuk_019,Yukagir_Tundra
Yuk_011,Yukagir_Tundra
Yuk_021,Yukagir_Tundra
Ckrd8,Yukagir_Tundra
Ckrd9,Yukagir_Tundra
Ckrd13,Yukagir_Tundra
Ckrd18,Yukagir_Tundra
MC_40,Chukchi
MC_16,Chukchi
MC_15,Chukchi
MC_18,Chukchi
MC_08,Chukchi
MC_25,Chukchi
MC_17,Chukchi
MC_06,Chukchi
MC_38,Chukchi
MC_14,Chukchi
ADR00064,Chukchi
ADR00074,Chukchi
ADR00066,Chukchi
ADR00065,Chukchi
ADR00079,Chukchi
ADR00061,Chukchi
ADR00068,Chukchi
ADR00060,Chukchi
ADR00059,Chukchi
ADR00057,Chukchi
Nesk_25,Eskimo_Naukan
Nesk_22,Eskimo_Naukan
Nesk_15,Eskimo_Naukan
Nesk_23,Eskimo_Naukan
ADR00090,Eskimo_Naukan
ADR00092,Eskimo_Naukan
ADR00089,Eskimo_Naukan
ADR00093,Eskimo_Naukan
ADR00098,Eskimo_Naukan
ADR00102,Eskimo_Naukan
ADR00096,Eskimo_Naukan
Nesk19,Eskimo_Naukan
Nesk8,Eskimo_Naukan
Nov_005,Nganasan
ADR00514,Nganasan
ADR00513,Nganasan
ADR00509,Nganasan
ADR00512,Nganasan
ADR00504,Nganasan
ADR00507,Nganasan
ADR00511,Nganasan
ADR00510,Nganasan
ADR00508,Nganasan
ADR00515,Nganasan
Sesk_47,Chukchi_Reindeer
Ul5,Ulchi
Ul31,Ulchi
Ul65,Ulchi
Ul6,Ulchi
Ul33,Ulchi
Ul71,Ulchi
Ul10,Ulchi
Ul43,Ulchi
Ul72,Ulchi
Ul44,Ulchi
Ul74,Ulchi
Ul19,Ulchi
Ul24,Ulchi
Ul59,Ulchi
Ul56,Ulchi
Ul55,Ulchi
Ul16,Ulchi
Ul69,Ulchi
Ul1,Ulchi
Ul36,Ulchi
Ul25,Ulchi
Ul52,Ulchi
Ul70,Ulchi
Ul51,Ulchi
Ul39,Ulchi
Tuba12,Tubalar
Tuba20,Tubalar
Tuba13,Tubalar
Tuba21,Tubalar
Tuba29,Tubalar
Tuba6,Tubalar
Tuba22,Tubalar
Tuba30,Tubalar
Tuba15,Tubalar
Tuba23,Tubalar
Tuba31,Tubalar
Tuba16,Tubalar
Tuba24,Tubalar
Tuba1,Tubalar
Tuba9,Tubalar
Tuba17,Tubalar
Tuba25,Tubalar
Tuba2,Tubalar
Tuba10,Tubalar
Tuba18,Tubalar
Tuba11,Tubalar
Tuba19,Tubalar
Nel19,Yukagir_Forest
Nel13,Yukagir_Forest
Nel15,Yukagir_Forest
Nel16,Yukagir_Forest
Nel17,Yukagir_Forest
Nlk16,Even
Nlk1,Even
Nlk18,Even
Nlk3,Even
Nlk19,Even
Nlk5,Even
Nlk6,Even
Nlk9,Even
Nlk10,Even
Nlk14,Even
Esk20,Eskimo_Chaplin
Esk29,Eskimo_Chaplin
Esk38,Eskimo_Chaplin
Esk22,Eskimo_Chaplin
Kor66,Koryak
Kor30,Koryak
Kor40,Koryak
Kor49,Koryak
Kor54,Koryak
Kor61,Koryak
Kor2,Koryak
Kor22,Koryak
Kor35,Koryak
Kor72,Itelmen
Kor57,Itelmen
Kor60,Itelmen
Kor62,Itelmen
Kor76,Itelmen
Kor78,Itelmen
Ale9,Tlingit
Ale14,Tlingit
Ale16,Tlingit
Ale32,Tlingit
Sir77,Eskimo_Sireniki
Sir14,Eskimo_Sireniki
Sir26,Eskimo_Sireniki
Sir61,Eskimo_Sireniki
Sir43,Eskimo_Sireniki
HGDP00001,Brahui
HGDP00003,Brahui
HGDP00005,Brahui
HGDP00007,Brahui
HGDP00011,Brahui
HGDP00015,Brahui
HGDP00017,Brahui
HGDP00019,Brahui
HGDP00021,Brahui
HGDP00023,Brahui
HGDP00025,Brahui
HGDP00027,Brahui
HGDP00031,Brahui
HGDP00033,Brahui
HGDP00035,Brahui
HGDP00037,Brahui
HGDP00039,Brahui
HGDP00043,Brahui
HGDP00045,Brahui
HGDP00047,Brahui
HGDP00049,Brahui
HGDP00052,Balochi
HGDP00054,Balochi
HGDP00056,Balochi
HGDP00058,Balochi
HGDP00062,Balochi
HGDP00064,Balochi
HGDP00066,Balochi
HGDP00068,Balochi
HGDP00072,Balochi
HGDP00074,Balochi
HGDP00078,Balochi
HGDP00080,Balochi
HGDP00082,Balochi
HGDP00086,Balochi
HGDP00088,Balochi
HGDP00090,Balochi
HGDP00092,Balochi
HGDP00094,Balochi
HGDP00096,Balochi
HGDP00098,Balochi
HGDP00099,Hazara
HGDP00103,Hazara
HGDP00106,Hazara
HGDP00109,Hazara
HGDP00110,Hazara
HGDP00115,Hazara
HGDP00116,Hazara
HGDP00118,Hazara
HGDP00120,Hazara
HGDP00121,Hazara
HGDP00122,Hazara
HGDP00124,Hazara
HGDP00125,Hazara
HGDP00127,Hazara
HGDP00131,Makrani
HGDP00133,Makrani
HGDP00134,Makrani
HGDP00135,Makrani
HGDP00136,Makrani
HGDP00137,Makrani
HGDP00140,Makrani
HGDP00141,Makrani
HGDP00144,Makrani
HGDP00145,Makrani
HGDP00146,Makrani
HGDP00148,Makrani
HGDP00151,Makrani
HGDP00153,Makrani
HGDP00154,Makrani
HGDP00155,Makrani
HGDP00157,Makrani
HGDP00158,Makrani
HGDP00160,Makrani
HGDP00161,Makrani
HGDP00167,Sindhi
HGDP00169,Sindhi
HGDP00171,Sindhi
HGDP00179,Sindhi
HGDP00181,Sindhi
HGDP00183,Sindhi
HGDP00185,Sindhi
HGDP00187,Sindhi
HGDP00189,Sindhi
HGDP00191,Sindhi
HGDP00192,Sindhi
HGDP00195,Sindhi
HGDP00197,Sindhi
HGDP00201,Sindhi
HGDP00205,Sindhi
HGDP00206,Sindhi
HGDP00208,Sindhi
HGDP00210,Sindhi
HGDP00213,Pathan
HGDP00216,Pathan
HGDP00218,Pathan
HGDP00222,Pathan
HGDP00224,Pathan
HGDP00226,Pathan
HGDP00228,Pathan
HGDP00230,Pathan
HGDP00232,Pathan
HGDP00241,Pathan
HGDP00243,Pathan
HGDP00244,Pathan
HGDP00247,Pathan
HGDP00248,Pathan
HGDP00254,Pathan
HGDP00258,Pathan
HGDP00259,Pathan
HGDP00262,Pathan
HGDP00264,Pathan
HGDP00267,Kalash
HGDP00277,Kalash
HGDP00281,Kalash
HGDP00285,Kalash
HGDP00286,Kalash
HGDP00288,Kalash
HGDP00290,Kalash
HGDP00298,Kalash
HGDP00302,Kalash
HGDP00307,Kalash
HGDP00311,Kalash
HGDP00313,Kalash
HGDP00315,Kalash
HGDP00319,Kalash
HGDP00323,Kalash
HGDP00328,Kalash
HGDP00330,Kalash
HGDP00333,Kalash
HGDP00336,Burusho
HGDP00338,Burusho
HGDP00341,Burusho
HGDP00346,Burusho
HGDP00351,Burusho
HGDP00356,Burusho
HGDP00359,Burusho
HGDP00364,Burusho
HGDP00371,Burusho
HGDP00372,Burusho
HGDP00382,Burusho
HGDP00388,Burusho
HGDP00392,Burusho
HGDP00402,Burusho
HGDP00407,Burusho
HGDP00412,Burusho
HGDP00417,Burusho
HGDP00423,Burusho
HGDP00428,Burusho
HGDP00433,Burusho
HGDP00438,Burusho
HGDP00444,Burusho
HGDP00445,Burusho
HGDP00449,MbutiPygmy
HGDP00462,MbutiPygmy
HGDP00463,MbutiPygmy
HGDP00467,MbutiPygmy
HGDP00474,MbutiPygmy
HGDP00476,MbutiPygmy
HGDP00478,MbutiPygmy
HGDP00982,MbutiPygmy
HGDP00984,MbutiPygmy
HGDP01081,MbutiPygmy
HGDP00454,BiakaPygmy
HGDP00455,BiakaPygmy
HGDP00457,BiakaPygmy
HGDP00458,BiakaPygmy
HGDP00459,BiakaPygmy
HGDP00460,BiakaPygmy
HGDP00461,BiakaPygmy
HGDP00464,BiakaPygmy
HGDP00465,BiakaPygmy
HGDP00466,BiakaPygmy
HGDP00469,BiakaPygmy
HGDP00470,BiakaPygmy
HGDP00472,BiakaPygmy
HGDP00473,BiakaPygmy
HGDP00475,BiakaPygmy
HGDP00985,BiakaPygmy
HGDP00986,BiakaPygmy
HGDP01086,BiakaPygmy
HGDP01090,BiakaPygmy
HGDP01094,BiakaPygmy
HGDP00511,French
HGDP00512,French
HGDP00513,French
HGDP00514,French
HGDP00515,French
HGDP00516,French
HGDP00517,French
HGDP00518,French
HGDP00519,French
HGDP00522,French
HGDP00523,French
HGDP00524,French
HGDP00525,French
HGDP00526,French
HGDP00527,French
HGDP00528,French
HGDP00529,French
HGDP00531,French
HGDP00533,French
HGDP00534,French
HGDP00535,French
HGDP00536,French
HGDP00537,French
HGDP00538,French
HGDP00539,French
HGDP00540,Papuan
HGDP00541,Papuan
HGDP00543,Papuan
HGDP00545,Papuan
HGDP00546,Papuan
HGDP00547,Papuan
HGDP00548,Papuan
HGDP00549,Papuan
HGDP00550,Papuan
HGDP00552,Papuan
HGDP00553,Papuan
HGDP00554,Papuan
HGDP00555,Papuan
HGDP00556,Papuan
HGDP00557,Druze
HGDP00558,Druze
HGDP00559,Druze
HGDP00560,Druze
HGDP00561,Druze
HGDP00562,Druze
HGDP00563,Druze
HGDP00564,Druze
HGDP00565,Druze
HGDP00566,Druze
HGDP00567,Druze
HGDP00568,Druze
HGDP00569,Druze
HGDP00571,Druze
HGDP00572,Druze
HGDP00573,Druze
HGDP00574,Druze
HGDP00575,Druze
HGDP00577,Druze
HGDP00578,Druze
HGDP00579,Druze
HGDP00580,Druze
HGDP00582,Druze
HGDP00583,Druze
HGDP00584,Druze
HGDP00586,Druze
HGDP00587,Druze
HGDP00588,Druze
HGDP00591,Druze
HGDP00594,Druze
HGDP00595,Druze
HGDP00597,Druze
HGDP00598,Druze
HGDP00599,Druze
HGDP00600,Druze
HGDP00601,Druze
HGDP00602,Druze
HGDP00604,Druze
HGDP00606,Druze
HGDP00607,BedouinB
HGDP00608,BedouinB
HGDP00610,BedouinB
HGDP00612,BedouinB
HGDP00616,BedouinB
HGDP00618,BedouinB
HGDP00623,BedouinB
HGDP00624,BedouinB
HGDP00630,BedouinB
HGDP00631,BedouinB
HGDP00636,BedouinB
HGDP00641,BedouinB
HGDP00643,BedouinB
HGDP00648,BedouinB
HGDP00649,BedouinB
HGDP00650,BedouinB
HGDP00651,BedouinB
HGDP00653,BedouinB
HGDP00701,BedouinB
HGDP00609,BedouinA
HGDP00611,BedouinA
HGDP00613,BedouinA
HGDP00614,BedouinA
HGDP00615,BedouinA
HGDP00619,BedouinA
HGDP00620,BedouinA
HGDP00622,BedouinA
HGDP00625,BedouinA
HGDP00626,BedouinA
HGDP00628,BedouinA
HGDP00629,BedouinA
HGDP00632,BedouinA
HGDP00634,BedouinA
HGDP00635,BedouinA
HGDP00637,BedouinA
HGDP00638,BedouinA
HGDP00639,BedouinA
HGDP00640,BedouinA
HGDP00642,BedouinA
HGDP00644,BedouinA
HGDP00645,BedouinA
HGDP00646,BedouinA
HGDP00647,BedouinA
HGDP00654,BedouinA
HGDP00655,Bougainville
HGDP00656,Bougainville
HGDP00660,Bougainville
HGDP00661,Bougainville
HGDP00662,Bougainville
HGDP00663,Bougainville
HGDP00664,Bougainville
HGDP00787,Bougainville
HGDP00788,Bougainville
HGDP01027,Bougainville
HGDP00666,Sardinian
HGDP00667,Sardinian
HGDP00668,Sardinian
HGDP00669,Sardinian
HGDP00670,Sardinian
HGDP00671,Sardinian
HGDP00672,Sardinian
HGDP00673,Sardinian
HGDP00674,Sardinian
HGDP01062,Sardinian
HGDP01063,Sardinian
HGDP01064,Sardinian
HGDP01065,Sardinian
HGDP01066,Sardinian
HGDP01067,Sardinian
HGDP01068,Sardinian
HGDP01069,Sardinian
HGDP01070,Sardinian
HGDP01071,Sardinian
HGDP01072,Sardinian
HGDP01073,Sardinian
HGDP01074,Sardinian
HGDP01075,Sardinian
HGDP01076,Sardinian
HGDP01077,Sardinian
HGDP01078,Sardinian
HGDP01079,Sardinian
HGDP00675,Palestinian
HGDP00676,Palestinian
HGDP00677,Palestinian
HGDP00679,Palestinian
HGDP00680,Palestinian
HGDP00683,Palestinian
HGDP00684,Palestinian
HGDP00685,Palestinian
HGDP00686,Palestinian
HGDP00687,Palestinian
HGDP00688,Palestinian
HGDP00689,Palestinian
HGDP00690,Palestinian
HGDP00691,Palestinian
HGDP00694,Palestinian
HGDP00696,Palestinian
HGDP00697,Palestinian
HGDP00698,Palestinian
HGDP00699,Palestinian
HGDP00700,Palestinian
HGDP00722,Palestinian
HGDP00724,Palestinian
HGDP00725,Palestinian
HGDP00726,Palestinian
HGDP00727,Palestinian
HGDP00729,Palestinian
HGDP00730,Palestinian
HGDP00731,Palestinian
HGDP00732,Palestinian
HGDP00733,Palestinian
HGDP00734,Palestinian
HGDP00735,Palestinian
HGDP00736,Palestinian
HGDP00737,Palestinian
HGDP00739,Palestinian
HGDP00740,Palestinian
HGDP00741,Palestinian
HGDP00745,Palestinian
HGDP00702,Piapoco
HGDP00704,Piapoco
HGDP00706,Piapoco
HGDP00970,Piapoco
HGDP00713,Cambodian
HGDP00714,Cambodian
HGDP00715,Cambodian
HGDP00716,Cambodian
HGDP00717,Cambodian
HGDP00719,Cambodian
HGDP00720,Cambodian
HGDP00721,Cambodian
HGDP00747,Japanese
HGDP00748,Japanese
HGDP00749,Japanese
HGDP00750,Japanese
HGDP00751,Japanese
HGDP00752,Japanese
HGDP00753,Japanese
HGDP00754,Japanese
HGDP00755,Japanese
HGDP00756,Japanese
HGDP00757,Japanese
HGDP00758,Japanese
HGDP00759,Japanese
HGDP00760,Japanese
HGDP00761,Japanese
HGDP00762,Japanese
HGDP00763,Japanese
HGDP00764,Japanese
HGDP00765,Japanese
HGDP00766,Japanese
HGDP00767,Japanese
HGDP00768,Japanese
HGDP00769,Japanese
HGDP00771,Japanese
HGDP00772,Japanese
HGDP00773,Japanese
HGDP00790,Japanese
HGDP00791,Japanese
HGDP00828,Japanese
HGDP00774,Han
HGDP00775,Han
HGDP00776,Han
HGDP00777,Han
HGDP00779,Han
HGDP00780,Han
HGDP00781,Han
HGDP00782,Han
HGDP00783,Han
HGDP00784,Han
HGDP00785,Han
HGDP00786,Han
HGDP00811,Han
HGDP00812,Han
HGDP00813,Han
HGDP00814,Han
HGDP00815,Han
HGDP00817,Han
HGDP00818,Han
HGDP00819,Han
HGDP00820,Han
HGDP00821,Han
HGDP00822,Han
HGDP00971,Han
HGDP00972,Han
HGDP00973,Han
HGDP00974,Han
HGDP00975,Han
HGDP00976,Han
HGDP00977,Han
HGDP01021,Han
HGDP01023,Han
HGDP01024,Han
HGDP00794,Orcadian
HGDP00796,Orcadian
HGDP00797,Orcadian
HGDP00798,Orcadian
HGDP00799,Orcadian
HGDP00800,Orcadian
HGDP00802,Orcadian
HGDP00803,Orcadian
HGDP00805,Orcadian
HGDP00806,Orcadian
HGDP00807,Orcadian
HGDP00808,Orcadian
HGDP00810,Orcadian
HGDP00832,Surui
HGDP00837,Surui
HGDP00838,Surui
HGDP00843,Surui
HGDP00845,Surui
HGDP00846,Surui
HGDP00849,Surui
HGDP00852,Surui
HGDP00854,Mayan
HGDP00855,Mayan
HGDP00856,Mayan
HGDP00857,Mayan
HGDP00858,Mayan
HGDP00859,Mayan
HGDP00861,Mayan
HGDP00862,Mayan
HGDP00863,Mayan
HGDP00864,Mayan
HGDP00865,Mayan
HGDP00868,Mayan
HGDP00869,Mayan
HGDP00870,Mayan
HGDP00872,Mayan
HGDP00873,Mayan
HGDP00875,Mayan
HGDP00877,Mayan
HGDP00879,Russian
HGDP00880,Russian
HGDP00882,Russian
HGDP00883,Russian
HGDP00884,Russian
HGDP00887,Russian
HGDP00888,Russian
HGDP00889,Russian
HGDP00890,Russian
HGDP00891,Russian
HGDP00892,Russian
HGDP00893,Russian
HGDP00894,Russian
HGDP00895,Russian
HGDP00896,Russian
HGDP00897,Russian
HGDP00898,Russian
HGDP00899,Russian
HGDP00900,Russian
HGDP00901,Russian
HGDP00902,Russian
HGDP00903,Russian
HGDP00904,Mandenka
HGDP00905,Mandenka
HGDP00906,Mandenka
HGDP00907,Mandenka
HGDP00908,Mandenka
HGDP00909,Mandenka
HGDP00910,Mandenka
HGDP00912,Mandenka
HGDP00913,Mandenka
HGDP00915,Mandenka
HGDP00917,Mandenka
HGDP01199,Mandenka
HGDP01200,Mandenka
HGDP01202,Mandenka
HGDP01283,Mandenka
HGDP01284,Mandenka
HGDP01286,Mandenka
HGDP00920,Yoruba
HGDP00924,Yoruba
HGDP00925,Yoruba
HGDP00926,Yoruba
HGDP00928,Yoruba
HGDP00929,Yoruba
HGDP00930,Yoruba
HGDP00931,Yoruba
HGDP00932,Yoruba
HGDP00933,Yoruba
HGDP00934,Yoruba
HGDP00935,Yoruba
HGDP00936,Yoruba
HGDP00937,Yoruba
HGDP00938,Yoruba
HGDP00939,Yoruba
HGDP00940,Yoruba
HGDP00941,Yoruba
HGDP00942,Yoruba
HGDP00943,Yoruba
HGDP00944,Yoruba
NA18501,Yoruba
NA18504,Yoruba
NA18505,Yoruba
NA18507,Yoruba
NA18508,Yoruba
NA18516,Yoruba
NA18517,Yoruba
NA18522,Yoruba
NA18852,Yoruba
NA18853,Yoruba
NA18855,Yoruba
NA18856,Yoruba
NA18858,Yoruba
NA18859,Yoruba
NA18861,Yoruba
NA18862,Yoruba
NA18870,Yoruba
NA18871,Yoruba
NA19093,Yoruba
NA19098,Yoruba
NA19099,Yoruba
NA19101,Yoruba
NA19102,Yoruba
NA19116,Yoruba
NA19119,Yoruba
NA19127,Yoruba
NA19128,Yoruba
NA19130,Yoruba
NA19131,Yoruba
NA19137,Yoruba
NA19138,Yoruba
NA19141,Yoruba
NA19143,Yoruba
NA19144,Yoruba
NA19159,Yoruba
NA19160,Yoruba
NA19171,Yoruba
NA19193,Yoruba
NA19201,Yoruba
NA19203,Yoruba
NA19204,Yoruba
NA19206,Yoruba
NA19207,Yoruba
NA19209,Yoruba
NA19210,Yoruba
NA19222,Yoruba
NA19223,Yoruba
NA19238,Yoruba
NA19239,Yoruba
HGDP00945,Yakut
HGDP00946,Yakut
HGDP00947,Yakut
HGDP00948,Yakut
HGDP00950,Yakut
HGDP00951,Yakut
HGDP00952,Yakut
HGDP00954,Yakut
HGDP00955,Yakut
HGDP00956,Yakut
HGDP00958,Yakut
HGDP00960,Yakut
HGDP00961,Yakut
HGDP00962,Yakut
HGDP00963,Yakut
HGDP00964,Yakut
HGDP00965,Yakut
HGDP00966,Yakut
HGDP00967,Yakut
HGDP00968,Yakut
HGDP00987,Ju_hoan_North
HGDP00991,Ju_hoan_North
HGDP00992,Ju_hoan_North
HGDP01032,Ju_hoan_North
HGDP01036,Ju_hoan_North
HGDP00993,Bantu_SA_Pedi
HGDP00994,Bantu_SA_S_Sotho
HGDP00995,Karitiana
HGDP00999,Karitiana
HGDP01001,Karitiana
HGDP01003,Karitiana
HGDP01006,Karitiana
HGDP01010,Karitiana
HGDP01012,Karitiana
HGDP01013,Karitiana
HGDP01014,Karitiana
HGDP01015,Karitiana
HGDP01018,Karitiana
HGDP01019,Karitiana
HGDP01028,Bantu_SA_Herero
HGDP01035,Bantu_SA_Herero
HGDP01030,Bantu_SA_Tswana
HGDP01034,Bantu_SA_Tswana
HGDP01031,Bantu_SA_Ovambo
HGDP01033,Bantu_SA_Zulu
HGDP01037,Pima
HGDP01041,Pima
HGDP01043,Pima
HGDP01044,Pima
HGDP01047,Pima
HGDP01050,Pima
HGDP01051,Pima
HGDP01053,Pima
HGDP01055,Pima
HGDP01056,Pima
HGDP01057,Pima
HGDP01058,Pima
HGDP01059,Pima
HGDP01060,Pima
HGDP01095,Tujia
HGDP01096,Tujia
HGDP01097,Tujia
HGDP01098,Tujia
HGDP01099,Tujia
HGDP01100,Tujia
HGDP01101,Tujia
HGDP01102,Tujia
HGDP01103,Tujia
HGDP01104,Tujia
HGDP01147,Italian_Bergamo
HGDP01151,Italian_Bergamo
HGDP01152,Italian_Bergamo
HGDP01153,Italian_Bergamo
HGDP01155,Italian_Bergamo
HGDP01156,Italian_Bergamo
HGDP01157,Italian_Bergamo
HGDP01171,Italian_Bergamo
HGDP01172,Italian_Bergamo
HGDP01173,Italian_Bergamo
HGDP01174,Italian_Bergamo
HGDP01177,Italian_Bergamo
HGDP01161,Italian_Tuscan
HGDP01162,Italian_Tuscan
HGDP01163,Italian_Tuscan
HGDP01164,Italian_Tuscan
HGDP01166,Italian_Tuscan
HGDP01167,Italian_Tuscan
HGDP01168,Italian_Tuscan
HGDP01169,Italian_Tuscan
HGDP01179,Yi
HGDP01180,Yi
HGDP01181,Yi
HGDP01182,Yi
HGDP01183,Yi
HGDP01184,Yi
HGDP01185,Yi
HGDP01186,Yi
HGDP01187,Yi
HGDP01188,Yi
HGDP01189,Miao
HGDP01190,Miao
HGDP01191,Miao
HGDP01192,Miao
HGDP01193,Miao
HGDP01194,Miao
HGDP01195,Miao
HGDP01196,Miao
HGDP01197,Miao
HGDP01198,Miao
HGDP01203,Oroqen
HGDP01204,Oroqen
HGDP01205,Oroqen
HGDP01206,Oroqen
HGDP01207,Oroqen
HGDP01208,Oroqen
HGDP01209,Oroqen
HGDP01211,Oroqen
HGDP01212,Oroqen
HGDP01213,Daur
HGDP01214,Daur
HGDP01215,Daur
HGDP01216,Daur
HGDP01217,Daur
HGDP01218,Daur
HGDP01220,Daur
HGDP01221,Daur
HGDP01222,Daur
HGDP01223,Mongola
HGDP01225,Mongola
HGDP01227,Mongola
HGDP01228,Mongola
HGDP01231,Mongola
HGDP01232,Mongola
HGDP01233,Hezhen
HGDP01234,Hezhen
HGDP01237,Hezhen
HGDP01238,Hezhen
HGDP01239,Hezhen
HGDP01240,Hezhen
HGDP01241,Hezhen
HGDP01242,Hezhen
HGDP01244,Xibo
HGDP01245,Xibo
HGDP01246,Xibo
HGDP01248,Xibo
HGDP01249,Xibo
HGDP01250,Xibo
HGDP01251,Xibo
HGDP01253,Mozabite
HGDP01254,Mozabite
HGDP01255,Mozabite
HGDP01256,Mozabite
HGDP01257,Mozabite
HGDP01258,Mozabite
HGDP01259,Mozabite
HGDP01262,Mozabite
HGDP01263,Mozabite
HGDP01264,Mozabite
HGDP01265,Mozabite
HGDP01268,Mozabite
HGDP01272,Mozabite
HGDP01274,Mozabite
HGDP01275,Mozabite
HGDP01276,Mozabite
HGDP01277,Mozabite
HGDP01278,Mozabite
HGDP01279,Mozabite
HGDP01280,Mozabite
HGDP01282,Mozabite
HGDP01287,Han_NChina
HGDP01288,Han_NChina
HGDP01289,Han_NChina
HGDP01290,Han_NChina
HGDP01291,Han_NChina
HGDP01292,Han_NChina
HGDP01293,Han_NChina
HGDP01294,Han_NChina
HGDP01295,Han_NChina
HGDP01296,Han_NChina
HGDP01297,Uygur
HGDP01298,Uygur
HGDP01299,Uygur
HGDP01300,Uygur
HGDP01301,Uygur
HGDP01302,Uygur
HGDP01303,Uygur
HGDP01304,Uygur
HGDP01305,Uygur
HGDP01306,Uygur
HGDP01307,Dai
HGDP01308,Dai
HGDP01309,Dai
HGDP01310,Dai
HGDP01311,Dai
HGDP01312,Dai
HGDP01313,Dai
HGDP01314,Dai
HGDP01315,Dai
HGDP01316,Dai
HGDP01317,Lahu
HGDP01318,Lahu
HGDP01319,Lahu
HGDP01320,Lahu
HGDP01321,Lahu
HGDP01322,Lahu
HGDP01323,Lahu
HGDP01326,Lahu
HGDP01327,She
HGDP01328,She
HGDP01329,She
HGDP01330,She
HGDP01331,She
HGDP01332,She
HGDP01333,She
HGDP01334,She
HGDP01335,She
HGDP01336,She
HGDP01337,Naxi
HGDP01338,Naxi
HGDP01339,Naxi
HGDP01340,Naxi
HGDP01341,Naxi
HGDP01342,Naxi
HGDP01344,Naxi
HGDP01345,Naxi
HGDP01346,Naxi
HGDP01347,Tu
HGDP01348,Tu
HGDP01349,Tu
HGDP01350,Tu
HGDP01351,Tu
HGDP01352,Tu
HGDP01353,Tu
HGDP01354,Tu
HGDP01355,Tu
HGDP01356,Tu
HGDP01357,Basque_French
HGDP01358,Basque_French
HGDP01359,Basque_French
HGDP01360,Basque_French
HGDP01362,Basque_French
HGDP01363,Basque_French
HGDP01364,Basque_French
HGDP01365,Basque_French
HGDP01366,Basque_French
HGDP01367,Basque_French
HGDP01368,Basque_French
HGDP01370,Basque_French
HGDP01371,Basque_French
HGDP01373,Basque_French
HGDP01374,Basque_French
HGDP01375,Basque_French
HGDP01377,Basque_French
HGDP01378,Basque_French
HGDP01379,Basque_French
HGDP01380,Basque_French
HGDP01381,Adygei
HGDP01382,Adygei
HGDP01383,Adygei
HGDP01385,Adygei
HGDP01386,Adygei
HGDP01387,Adygei
HGDP01396,Adygei
HGDP01397,Adygei
HGDP01398,Adygei
HGDP01399,Adygei
HGDP01400,Adygei
HGDP01401,Adygei
HGDP01402,Adygei
HGDP01403,Adygei
HGDP01404,Adygei
NA13626,Adygei
NA13619,Adygei
HGDP01405,BantuKenya
HGDP01408,BantuKenya
HGDP01414,BantuKenya
HGDP01417,BantuKenya
HGDP01418,BantuKenya
HGDP01419,BantuKenya
Ayodo_21S,Somali
Ayodo_23S,Somali
Ayodo_69S,Somali
Ayodo_90S,Somali
Ayodo_43S,Somali
Ayodo_81S,Somali
Ayodo_52S,Somali
Ayodo_61S,Somali
Ayodo_41S,Somali
Ayodo_40S,Somali
Ayodo_34S,Somali
Ayodo_35S,Somali
Ayodo_5S,Somali
Ayodo_47K,Kikuyu
Ayodo_67K,Kikuyu
Ayodo_61K,Kikuyu
Ayodo_83K,Kikuyu
mixe0029,Mixe
mixe0030,Mixe
mixe0015,Mixe
mixe0035,Mixe
mixe0018,Mixe
mixe0026,Mixe
mixe0027,Mixe
mixe0028,Mixe
mixe0007,Mixe
mixe0009,Mixe
IHW9118,Australian_ECCAC
IHW9195,Australian_ECCAC
IHW9193,Australian_ECCAC
Ayodo_103M,Masai_Ayodo
Ayodo_101M,Masai_Ayodo
Bar08,Hadza_Henn
Bar10,Hadza_Henn
Bar13,Hadza_Henn
End08,Hadza_Henn
Bar04,Hadza_Henn
AD_066,AA_Denver
AD_064,AA_Denver
AD_505,AA_Denver
AD_523,AA_Denver
AD_500,AA_Denver
AD_510,AA_Denver
